Title:,2020 Hong Kong Policy Act Report,,
Last Update,2020-06-13,,
Home:,Gota Gota Current Survey <https://ggcs.io>,,
URI:,https://github.com/ggcurrs/data,,
Source:,https://www.state.gov/2020-hong-kong-policy-act-report/,,
,,,
,,,
,,,
,,,
element,text,Google_tralnlate,Bing_translator
h1,2020 Hong Kong Policy Act Report,2020香港政策法レポート,2020年香港政策法報告書
doc-type,Report,報告,レポート
author-bureau,Bureau of East Asian and Pacific Affairs,東アジア太平洋局,東アジア太平洋局
publish-date,"May 28, 2020",2020年5月28日,2020年5月28日
p_000,"Consistent with sections 205 and 301 of the United States-Hong Kong Policy Act of 1992 (the)as amended by the Hong Kong Human Rights and Democracy Act of 2019, and section 7043(f)(4)(B) of the Department of State, Foreign Operations, and Related Programs Appropriations Act, 2020 (Div. G, P.L. 116-94), the Department submits this report and the enclosed certification on developments in Hong Kong from March 2019 through May 2020.",2019年の香港人権および民主主義法によって改正された1992年の米国-香港政策法の第205条および第301条、および米国務省の第7043条（f）（4）（B）に準拠 2020年の国家、海外活動、および関連プログラム歳出法（Div。G、PL 116-94）に基づき、省はこのレポートと、2019年3月から2020年5月までの香港での開発に関する同封の証明書を提出します。,2019年の香港人権民主主義法で改正された1992年の米国・香港政策法第205条および第301条と一致し、 国務省、外国事業関連プログラム歳出法(2020年第1111-94)のセクション7043(f)(4)(B)は、2019年3月から2020年5月までの香港の動向に関する報告書および同梱認証を提出する。
h5,Summary,概要,概要
p_001,"The Department of State is obligated by law to certify to Congress annually whether Hong Kong continues to warrant differential treatment under U.S. law. After careful consideration, as required by section 301 of the Hong Kong Policy Act, I can no longer certify that Hong Kong continues to warrant such treatment.",国務省は、香港が引き続き米国法に基づく差別的待遇を正当化するかどうかを毎年議会に証明する義務を法律で負っています。 慎重に検討した結果、香港政策法の第301条で義務付けられているように、香港がそのような扱いを引き続き保証することを証明することはできません。,国務省は、香港が米国の法律の下で差別的扱いを保証し続けるかどうかを毎年議会に証明する義務があります。香港政策法第301条の要求に従って、慎重に検討した結果、香港がそのような扱いを保証し続けていることを私はもはや証明できません。
