1,Source 1: 16項貨物・キャッチオール規制対象品目表,https://www.meti.go.jp/policy/anpo/law_document/tutatu/t07sonota/t07sonota_kanzeiteiritu.pdf,,,,
2,Source 2: 輸出統計品目表（2019年4月版）,http://www.customs.go.jp/yusyutu/2019_4/index.htm,,,,
3,File URl:,https://github.com/ggcurrs/data/blob/master/catch-all-jp-cy2019.csv,,,,
4,「他法令」URL:,http://www.customs.go.jp/yusyutu/2019_4/data/export.htm,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,第5部　鉱物性生産品,,,,,
11,  第25類　塩、硫黄、土石類、プラスター、石灰及びセメント,,,,,
12,,,,,,
13,統計番号,,品名,単位,,他法令
14,Statistical code,,Description,Unit,,Law
15,番号,,,I,II,
16,H.S. code,,,,,
17,25.01,,,,,
18,2501,0,塩（食卓塩及び変性させた塩を含むものとし、水溶液であるかないか又は固結防止剤を含有するかしないかを問わない。）、純塩化ナトリウム（水溶液であるかないか又は固結防止剤を含有するかしないかを問わない。）及び海水,,MT,
19,25.02,,,,,
20,2502,0,硫化鉄鉱（焼いてないものに限る。）,,MT,
21,25.03,,,,,
22,2503,0,硫黄（昇華硫黄、沈降硫黄及びコロイド硫黄を除く。）,,MT,
23,25.04,,天然黒鉛,,,
24,2504.1,0,− 粉状又はフレーク状のもの,,MT,
25,2504.9,0,− その他のもの,,MT,
26,25.05,,天然の砂（着色してあるかないかを問わないものとし、第26類の砂状の金属鉱を除く。）,,,
27,2505.1,0,− けい砂,,MT,
28,2505.9,0,− その他のもの,,MT,
29,25.06,,石英（天然の砂を除く。）及びけい岩（粗削りしてあるかないか又はのこぎりでひくことその他の方法により長方形（正方形を含む。）の塊状若しくは板状に単に切つてあるかないかを問わない。）,,,
30,2506.1,0,− 石英,,MT,
31,2506.2,0,− けい岩,,MT,
32,25.07,,,,,
33,2507,0,カオリンその他のカオリン系粘土（焼いてあるかないかを問わない。）,,MT,
34,25.08,,その他の粘土、アンダルーサイト、カイアナイト及びシリマナイト（焼いてあるかないかを問わないものとし、第68.06項のエキスパンデッドクレーを除く。）並びにムライト、シャモット及びダイナスアース,,,
35,2508.1,0,− ベントナイト,,MT,ET
36,2508.3,0,− 耐火粘土,,MT,
37,2508.4,0,− その他の粘土,,MT,
38,2508.5,0,− アンダルーサイト、カイアナイト及びシリマナイト,,MT,
39,2508.6,0,− ムライト,,MT,
40,2508.7,0,− シャモット及びダイナスアース,,MT,
41,25.09,,,,,
42,2509,0,白亜,,MT,
43,25.1,,天然のりん酸カルシウム及びりん酸アルミニウムカルシウム並びにりん酸塩を含有する白亜,,,
44,2510.1,0,− 粉砕してないもの,,MT,
45,2510.2,0,− 粉砕したもの,,MT,
46,25.11,,天然の硫酸バリウム（重晶石）及び天然の炭酸バリウム（毒重石。焼いてあるかないかを問わないものとし、第28.16項の酸化バリウムを除く。）,,,
47,2511.1,0,− 天然の硫酸バリウム（重晶石）,,MT,
48,2511.2,0,− 天然の炭酸バリウム（毒重石）,,MT,
49,25.12,,,,,
50,2512,0,けいそう土その他これに類するけい酸質の土（見掛け比重が1以下のものに限るものとし、焼いてあるかないかを問わない。）,,MT,ET
51,25.13,,コランダム、ガーネットその他の研磨用の材料（天然のものに限るものとし、熱処理をしてあるかないかを問わない。）、パミスストーン及びエメリー,,,
52,2513.1,,− パミスストーン,,,
53,,100,−− 粗のもの及び不規則な形状のもの（破砕したもの（ビムスキー）を含む。）,,KG,
54,,900,−− その他のもの,,KG,
55,2513.2,0,− エメリー、天然のコランダム、天然のガーネットその他の天然の研磨用の材料,,KG,
56,25.14,,,,,
57,2514,0,スレート（粗削りしてあるかないか又はのこぎりでひくことその他の方法により長方形（正方形を含む。）の塊状若しくは板状に単に切つてあるかないかを問わない。）,,MT,
58,25.15,,大理石、トラバーチン、エコーシンその他の石碑用又は建築用の石灰質の岩石（見掛け比重が2.5以上のものに限るものとし、粗削りしてあるかないか又はのこぎりでひくことその他の方法により長方形（正方形を含む。）の塊状若しくは板状に単に切つてあるかないかを問わない。）及びアラバスター（粗削りしてあるかないか又はのこぎりでひくことその他の方法により長方形（正方形を含む。）の塊状若しくは板状に単に切つてあるかないかを問わない。）,,,
59,,,− 大理石及びトラバーチン,,,
60,2515.11,0,−− 粗のもの及び粗削りしたもの,,MT,
61,2515.12,0,−− のこぎりでひくことその他の方法により長方形（正方形を含む。）の塊状又は板状に単に切つたもの,,MT,
62,2515.2,0,− エコーシンその他の石碑用又は建築用の石灰質の岩石及びアラバスター,,MT,
63,25.16,,花こう岩、はん岩、玄武岩、砂岩その他の石碑用又は建築用の岩石（粗削りしてあるかないか又はのこぎりでひくことその他の方法により長方形（正方形を含む。）の塊状若しくは板状に単に切つてあるかないかを問わない。）,,,
64,,,− 花こう岩,,,
65,2516.11,0,−− 粗のもの及び粗削りしたもの,,MT,
66,2516.12,0,−− のこぎりでひくことその他の方法により長方形（正方形を含む。）の塊状又は板状に単に切つたもの,,MT,
67,2516.2,0,− 砂岩,,MT,
68,2516.9,0,− その他の石碑用又は建築用の岩石,,MT,
69,25.17,,小石、砂利及び砕石（コンクリート用、道路舗装用又は鉄道用その他のバラスト用に通常供するものに限るものとし、熱処理をしてあるかないかを問わない。）、シングル及びフリント（熱処理をしてあるかないかを問わない。）並びにスラグ、ドロスその他これらに類する工業廃棄物から成るマカダム（小石、砂利、砕石、シングル又はフリントを混入してあるかないかを問わない。）及びタールマカダム並びに第25.15項又は第25.16項の岩石の粒、破片及び粉（熱処理をしてあるかないかを問わない。）,,,
70,2517.1,0,− 小石、砂利及び砕石（コンクリート用、道路舗装用又は鉄道用その他のバラスト用に通常供するものに限るものとし、熱処理をしてあるかないかを問わない。）並びにシングル及びフリント（熱処理をしてあるかないかを問わない。）,,MT,
71,2517.2,0,− スラグ、ドロスその他これらに類する工業廃棄物から成るマカダム（第2517.10号の物品を混入してあるかないかを問わない。）,,MT,
72,2517.3,0,− タールマカダム,,MT,
